"318: Shawshank Redemption, The (1994)",260: Star Wars: Episode IV - A New Hope (1977),3578: Gladiator (2000),541: Blade Runner (1982),"593: Silence of the Lambs, The (1991)",1265: Groundhog Day (1993),"2571: Matrix, The (1999)",34: Babe (1995),2028: Saving Private Ryan (1998),296: Pulp Fiction (1994),1259: Stand by Me (1986),1210: Star Wars: Episode VI - Return of the Jedi (1983),1: Toy Story (1995),527: Schindler's List (1993),"2762: Sixth Sense, The (1999)",780: Independence Day (ID4) (1996),356: Forrest Gump (1994),2396: Shakespeare in Love (1998),1198: Raiders of the Lost Ark (1981),2916: Total Recall (1990),User
,1,4,2,4,,4,,2,,3,5,2,2,5,5,2,2,,,755
2,5,2,,4,2,,,,,4,3,1,5,1,2,,3,3,2,5277
5,,,4,2,1,1,3,,,1,,4,2,3,4,,,1,1,1577
,,1,3,,5,,2,3,4,,3,2,5,1,1,,,1,4,4388
1,4,1,4,4,,3,,4,,1,3,,5,5,,4,5,,1,1202
4,2,,,,1,,2,1,4,4,4,3,,3,4,4,5,,2,3823
1,,4,3,1,,1,2,5,2,,,,,,,3,1,5,,5448
,4,2,2,3,4,,,,3,,,2,1,3,3,,,5,2,5347
4,5,4,,2,5,,5,4,,1,1,4,,,1,,2,,3,4117
5,4,,,3,,2,,3,4,,2,4,5,1,2,,,,,2765
,2,5,,,,1,4,,,,1,5,,2,2,5,,1,3,5450
,3,,,2,2,5,2,,1,,5,2,,,3,2,3,,,139
5,2,,,4,3,,,5,,,3,4,,,4,,,5,2,1940
,3,,2,2,3,5,,,,4,,3,1,,2,3,,,1,3118
,4,5,,5,2,,1,,3,5,4,2,3,,3,,,3,1,4656
,,2,,3,5,2,4,2,,1,,,2,4,,1,5,3,,4796
,,,,4,,4,,,2,,,2,,,,,2,,,6037
5,4,1,4,1,,,5,,5,,5,4,2,1,,1,,2,,3048
,5,4,,,,2,,1,3,3,1,2,,,,,3,,1,4790
4,1,,5,5,5,4,,3,2,2,2,2,3,5,,2,1,3,,4489
0.7,0.533333333,0.5,0.444444444,0.4375,0.416666667,0.416666667,0.4,0.363636364,0.363636364,0.363636364,0.357142857,0.352941176,0.333333333,0.333333333,0.307692308,0.3,0.272727273,0.272727273,0.083333333,
