2916: Total Recall (1990),1259: Stand by Me (1986),356: Forrest Gump (1994),780: Independence Day (ID4) (1996),1: Toy Story (1995),"2571: Matrix, The (1999)","2762: Sixth Sense, The (1999)",2396: Shakespeare in Love (1998),1198: Raiders of the Lost Ark (1981),3578: Gladiator (2000),1210: Star Wars: Episode VI - Return of the Jedi (1983),2028: Saving Private Ryan (1998),296: Pulp Fiction (1994),527: Schindler's List (1993),34: Babe (1995),"593: Silence of the Lambs, The (1991)",1265: Groundhog Day (1993),541: Blade Runner (1982),260: Star Wars: Episode IV - A New Hope (1977),"318: Shawshank Redemption, The (1994)",User
,3,2,5,2,4,5,2,,4,5,2,,2,,4,,2,1,,755
2,4,,2,1,,1,3,3,2,3,,,5,,4,2,,5,2,5277
1,1,,4,4,1,3,,1,,,,,2,3,2,1,4,,5,1577
4,,,1,2,,1,,1,1,3,3,4,5,2,,5,3,,,4388
1,1,4,,,3,5,5,,1,3,4,,5,,4,,4,4,1,1202
2,4,4,4,3,,3,5,,,4,1,4,,2,,1,,2,4,3823
,,3,,,1,,1,5,4,,5,2,,2,1,,3,,1,5448
2,,,3,2,,3,,5,2,,,3,1,,3,4,2,4,,5347
3,1,,1,4,,,2,,4,1,4,,,5,2,5,,5,4,4117
,,,2,4,2,1,,,,2,3,4,5,,3,,,4,5,2765
3,,5,2,5,1,2,,1,5,1,,,,4,,,,2,,5450
,,2,3,2,5,,3,,,5,,1,,2,2,2,,3,,139
2,,,4,4,,,,5,,3,5,,,,4,3,,2,5,1940
1,4,3,2,3,5,,,,,,,,1,,2,3,2,3,,3118
1,5,,3,2,,,,3,5,4,,3,3,1,5,2,,4,,4656
,1,1,,,2,4,5,3,2,,2,,2,4,3,5,,,,4796
,,,,2,4,,2,,,,,2,,,4,,,,,6037
,,1,,4,,1,,2,1,5,,5,2,5,1,,4,4,5,3048
1,3,,,2,2,,3,,4,1,1,3,,,,,,5,,4790
,2,2,,2,4,5,1,3,,2,3,2,3,,5,5,5,1,4,4489
1.916666667,2.636363636,2.7,2.769230769,2.823529412,2.833333333,2.833333333,2.909090909,2.909090909,2.916666667,3,3,3,3,3,3.0625,3.166666667,3.222222222,3.266666667,3.6,
