1: Toy Story (1995),"593: Silence of the Lambs, The (1991)",260: Star Wars: Episode IV - A New Hope (1977),1210: Star Wars: Episode VI - Return of the Jedi (1983),780: Independence Day (ID4) (1996),3578: Gladiator (2000),2916: Total Recall (1990),1265: Groundhog Day (1993),"2571: Matrix, The (1999)",527: Schindler's List (1993),"2762: Sixth Sense, The (1999)",2028: Saving Private Ryan (1998),296: Pulp Fiction (1994),1259: Stand by Me (1986),2396: Shakespeare in Love (1998),1198: Raiders of the Lost Ark (1981),356: Forrest Gump (1994),"318: Shawshank Redemption, The (1994)",34: Babe (1995),541: Blade Runner (1982),User
2,4,1,5,5,4,,,4,2,5,2,,3,2,,2,,,2,755
1,4,5,3,2,2,2,2,,5,1,,,4,3,3,,2,,,5277
4,2,,,4,,1,1,1,2,3,,,1,,1,,5,3,4,1577
2,,,3,1,1,4,5,,5,1,3,4,,,1,,,2,3,4388
,4,4,3,,1,1,,3,5,5,4,,1,5,,4,1,,4,1202
3,,2,4,4,,2,1,,,3,1,4,4,5,,4,4,2,,3823
,1,,,,4,,,1,,,5,2,,1,5,3,1,2,3,5448
2,3,4,,3,2,2,4,,1,3,,3,,,5,,,,2,5347
4,2,5,1,1,4,3,5,,,,4,,1,2,,,4,5,,4117
4,3,4,2,2,,,,2,5,1,3,4,,,,,5,,,2765
5,,2,1,2,5,3,,1,,2,,,,,1,5,,4,,5450
2,2,3,5,3,,,2,5,,,,1,,3,,2,,2,,139
4,4,2,3,4,,2,3,,,,5,,,,5,,5,,,1940
3,2,3,,2,,1,3,5,1,,,,4,,,3,,,2,3118
2,5,4,4,3,5,1,2,,3,,,3,5,,3,,,1,,4656
,3,,,,2,,5,2,2,4,2,,1,5,3,1,,4,,4796
2,4,,,,,,,4,,,,2,,2,,,,,,6037
4,1,4,5,,1,,,,2,1,,5,,,2,1,5,5,4,3048
2,,5,1,,4,1,,2,,,1,3,3,3,,,,,,4790
2,5,1,2,,,,5,4,3,5,3,2,2,1,3,2,4,,5,4489
17,16,15,14,13,12,12,12,12,12,12,11,11,11,11,11,10,10,10,9,
